id,name,latitude,longitude,address,city_name,department,city_code,region,country,power_total_mw,operation_start_year,total_floor_area_sqm,IT_floor_area_sqm,progress_step,operator
1,TGCC,48.592,2.191,Campus Teratec- batiment 1- 1er étage 2 Rue de la Piquetterie 91680 Bruyères le Chatel,BRUYÈRES-LE-CHÂTEL,91,91680,Ile-de-France,France,7.500,2010,3651.000,18255.000,operating,CEA - Atos
2,Société Générale,48.640,2.506,Lieu dit les Combeaux 91250 Tigery,TIGERY,91,91250,Ile-de-France,France,5.500,2009,23640.000,2500.000,operating,Société Générale
3,DC Alcatel Lucent REMPLACE PAR DATA4 ?,48.660,2.242,Campus Nokia Paris-Saclay- Bâtiment Chappe- Route de Villejust- 91620 NOZAY,NOZAY,91,91620,Ile-de-France,France,10.594,2014,,,operating,ALCATEL Lucent FRANCE
4,Colt Paris SW,48.682,2.170,15 Avenue Du Cap Horn 91400 Les Ulis,LES ULIS,91,91940,Ile-de-France,France,20.000,2012,18704.000,9352.000,operating,Colt Technology Services
5,Digital Realty Les Ulis- DC1 et 2- PAR 13,48.682,2.170,"14 rue de l\,Orme à Moineaux- ZA de Courtaboeuf",LES ULIS,91,91940,Ile-de-France,France,20.000,2024,11180.000,5590.000,operating,Digital Reality
6,Virtual Data Salle Plateau,48.713,2.209,Avenue Chasles- 91120 Palaiseau,PALAISEAU,91,91120,Ile-de-France,France,1.800,2014,0.000,,operating,Laboratoire Leprince-Ringuet
7,CyrusOne Paris/Wissous,48.732,2.327,"1 Boulevard d\,Arago- 91320 Wissous",WISSOUS,91,91320,Ile-de-France,France,27.000,2021,17480.000,8740.000,operating,CyrusOne
8,Bouygues Telecom (exploitant et client)- Digital Realty (propriétaire),48.755,2.217,127 Rue de Paris- 91570 Bièvres,BIEVRES,91,91570,Ile-de-France,France,14.473,2008,9778.000,4889.000,operating,Bouygues Telecom
9,SFR NETCENTER,48.776,1.999,1 Rue Albert Einstein- 78190 Trappes,TRAPPES,78,78190,Ile-de-France,France,12.000,2015,1560.000,1310.000,operating,SFR
10,Scaleway DC3,48.788,2.392,61- rue Julian Grimau 94400 Vitry sur Seine,VITRY-SUR-SEINE,94,94400,Ile-de-France,France,24.000,2012,10000.000,5000.000,operating,OpCore
11,Bouygues Telecom,48.781,2.262,17 Avenue Descartes- 92350 Le Plessis-Robinson,LE PLESSIS-ROBINSON,92,92350,Ile-de-France,France,1.248,,1072.000,536.000,operating,Bouygues Telecom
12,Fiducial (ex KHEOPS Organisation 2),48.781,2.190,"45 avenue de l\,europe 78145 Velizy",VÉLIZY-VILLACOUBLAY,78,78140,Ile-de-France,France,2.000,2011,1005.000,1000.000,operating,Fiducial (ex Kheops Organisation)
13,DataBank FR3 / GDC3,48.781,2.190,16 avenue de l’Europe 78140 Vélizy Villacoublay,VÉLIZY-VILLACOUBLAY,78,78140,Ile-de-France,France,7.000,2007,4440.000,2220.000,operating,DataBank (ex zColo by Zayo)
14,Orange Business Services,48.813,2.239,22 Avenue du Maréchal Juin- 92360 Meudon,MEUDON,92,92190,Ile-de-France,France,17.570,,11870.000,5935.000,operating,Orange Business Services
15,Equinix PA13,48.813,2.239,9 Avenue du Maréchal Juin- 92360 Meudon,MEUDON,92,92190,Ile-de-France,France,28.000,2025,20475.000,10237.500,operating,"Equinix, Inc"
16,Scaleway DC2,48.788,2.392,29- rue Edith Cavell 94400 Vitry sur Seine,VITRY-SUR-SEINE,94,94400,Ile-de-France,France,18.000,1999,8676.000,4338.000,operating,OpCore
17,DATAXION,48.776,1.999,"Avenue Jean d\,Alembert- Parc d\,Activités de Pissaloup- 78190 Trappes",TRAPPES,78,78190,Ile-de-France,France,1.200,2013,4817.000,24085.000,operating,Dataxion France
18,Bouygues Telecom / ascendas reit,48.778,2.032,rue Jean Pierre Timbaud 78180 Montigny-le-Bretonneux,MONTIGNY-LES-BRETONNEUX,78,78180,Ile-de-France,France,20.000,2009,5448.000,2724.000,operating,Bouygues Telecom
19,Interxion PAR6,48.812,2.387,11-15- rue Galilée 94200 Ivry-sur-Seine,IVRY-SUR-SEINE,94,94200,Ile-de-France,France,5.700,2008,2148.000,1074.000,operating,Interxion (a Digital Realty Company)
20,BNP Paribas Marne Sud,48.828,2.658,33 Rue des Vieilles Vignes- 77183 Croissy-Beaubourg,CROISSY-BEAUBOURG,77,77183,Ile-de-France,France,4.540,,3900.000,1950.000,operating,BNP Paribas
21,Colt Node Malakoff (VAL),48.821,2.302,27 Rue Pierre Valette- 92240 Malakoff,MALAKOFF,92,92240,Ile-de-France,France,11.717,2022,7916.000,3958.000,operating,Colt Technology Services
22,Azur Datacenter - AZ 01,48.828,2.658,4 Rue des Vieilles Vignes 77183 Croissy-Beaubourg,CROISSY-BEAUBOURG,77,77183,Ile-de-France,France,6.000,2004,3800.000,2100.000,operating,Azur Datacenter
23,Interxion PAR12,48.821,2.705,16 Avenue Joseph Froelicher- Ferrières-en-Brie,FERRIERES-EN-BRIE,77,77164,Ile-de-France,France,20.000,2021,11260.000,5630.000,operating,Interxion (a Digital Realty Company)
24,nLighten Émerainville (ex-oxYa/Hitachi),48.812,2.621,12 rue Vladimir Jankelevitch- 77184 Emerainville,EMERAINVILLE,77,77184,Ile-de-France,France,2.649,,1268.000,634.000,operating,"oxYa, a Hiatchi Group Company"
25,BNP Paribas Centre de Traitement Informatique (CTI) Marne Nord,48.839,2.717,6 B Avenue Gutenberg  77600 Bussy-Saint-Georges,BUSSY-SAINT-GEORGES,77,77600,Ile-de-France,France,18.540,2007,8700.000,4350.000,operating,BNP Paribas
26,IBM / KYNDRYL collegien,48.836,2.673,35 Allée du Clos des Charmes- 77090 Collégien,COLLÉGIEN,77,77090,Ile-de-France,France,3.143,2008,6036.000,3018.000,operating,Kyndryl
27,Euroclear,48.839,2.717,"Parc d\,activités Gustave Eiffel 77600 Bussy-Saint-Georges",BUSSY-SAINT-GEORGES,77,77600,Ile-de-France,France,5.562,2006,5616.000,2808.000,operating,Euroclear Pappers=BNP Paribas
28,BNP Paribas Marne Est 1,48.847,2.821,11 Avenue Johannes Gutenberg - ZAC du Prieuré - Marne la Vallée,BAILLY-ROMAINVILLIERS,77,77700,Ile-de-France,France,22.000,2015,19572.000,9786.000,operating,BNP Paribas
29,Sungard AS Lognes Facility / penta-infra,48.838,2.633,93 Cours des Petites Ecuries- 77185 Lognes,LOGNES,77,77185,Ile-de-France,France,16.000,,9378.000,4689.000,operating,Penta Infra ? / Sungard Availability Services
30,Datacenter Banque de France,48.857,2.786,Centre Michèle Bergstein 77700 Serris,SERRIS,77,77700,Ile-de-France,France,5.297,2014,13000.000,6500.000,operating,Banque de France
31,Euclyde DC6 - IDF,48.838,2.633,NEWTON A- 3-5 mail Barthélémy Thimonnier 77185 Lognes,LOGNES,77,77185,Ile-de-France,France,2.000,,5500.000,2000.000,operating,Euclyde Data Centers
32,Orange DC,48.835,2.632,59 Bd du Mandinet,Lognes,77,77185,Ile-de-France,France,1.306,,1122.000,561.000,operating,Orange
33,SIRIUS Albiant-IT,48.632,2.551,100 RUE ALFRED KASTLER 77127 LIEUSAINT,LIEUSAINT,77,77230,Ile-de-France,France,24.632,2010,34887.000,17443.000,operating,"Albiant IT (pour Groupe BPCE, Natixis)"
34,VEGA Albiant,48.847,2.821,2 Rue du Gue- 77700 Bailly-Romainvilliers,BAILLY-ROMAINVILLIERS,77,77700,Ile-de-France,France,8.211,2010,12531.000,6175.000,operating,Natixis/BPCE
